month,Q_in_hm3,Q_out_hm3
11/1959,0.871,1.834
12/1959,0.664,1.834
01/1960,1.817,1.31
02/1960,1.457,1.048
03/1960,4.831,0.786
04/1960,2.981,1.834
05/1960,2.973,1.834
06/1960,1.742,2.62
07/1960,1.089,3.144
08/1960,1.278,3.668
09/1960,0.658,3.668
10/1960,5.106,2.62
11/1960,3.009,1.834
12/1960,3.668,1.834
01/1961,1.514,1.31
02/1961,5.101,1.048
03/1961,6.602,0.786
04/1961,5.793,1.834
05/1961,4.235,1.834
06/1961,5.892,2.62
07/1961,1.931,3.144
08/1961,1.812,3.668
09/1961,1.198,3.668
10/1961,1.037,2.62
11/1961,1.06,1.834
12/1961,1.783,1.834
01/1962,3.02,1.31
02/1962,1.61,1.048
03/1962,2.481,0.786
04/1962,9.45,1.834
05/1962,3.72,1.834
06/1962,1.586,2.62
07/1962,1.638,3.144
08/1962,0.853,3.668
09/1962,0.837,3.668
10/1962,0.819,2.62
11/1962,1.032,1.834
12/1962,1.122,1.834
01/1963,1.05,1.31
02/1963,0.804,1.048
03/1963,3.919,0.786
04/1963,7.042,1.834
05/1963,2.252,1.834
06/1963,2.452,2.62
07/1963,1.879,3.144
08/1963,0.824,3.668
09/1963,0.596,3.668
10/1963,0.695,2.62
11/1963,0.723,1.834
12/1963,0.695,1.834
01/1964,0.658,1.31
02/1964,0.648,1.048
03/1964,2.952,0.786
04/1964,4.681,1.834
05/1964,2.551,1.834
06/1964,0.975,2.62
07/1964,0.653,3.144
08/1964,0.417,3.668
09/1964,0.482,3.668
10/1964,0.767,2.62
11/1964,1.348,1.834
12/1964,1.49,1.834
01/1965,1.278,1.31
02/1965,0.837,1.048
03/1965,5.524,0.786
04/1965,13.237,1.834
05/1965,9.318,1.834
06/1965,4.44,2.62
07/1965,1.433,3.144
08/1965,1.135,3.668
09/1965,1.571,3.668
10/1965,1.089,2.62
11/1965,1.112,1.834
12/1965,7.185,1.834
01/1966,3.535,1.31
02/1966,7.374,1.048
03/1966,4.08,0.786
04/1966,5.581,1.834
05/1966,3.294,1.834
06/1966,4.264,2.62
07/1966,6.073,3.144
08/1966,1.312,3.668
09/1966,2.063,3.668
10/1966,1.822,2.62
11/1966,2.509,1.834
12/1966,4.469,1.834
01/1967,4.321,1.31
02/1967,8.04,1.048
03/1967,6.773,0.786
04/1967,5.684,1.834
05/1967,1.26,1.834
06/1967,1.169,2.62
07/1967,1.122,3.144
08/1967,1.433,3.668
09/1967,1.179,3.668
10/1967,1.273,2.62
11/1967,1.405,1.834
12/1967,5.684,1.834
01/1968,7.382,1.31
02/1968,2.693,1.048
03/1968,9.29,0.786
04/1968,10.337,1.834
05/1968,3.815,1.834
06/1968,1.68,2.62
07/1968,1.851,3.144
08/1968,2.159,3.668
09/1968,3.502,3.668
10/1968,7.919,2.62
11/1968,1.926,1.834
12/1968,1.731,1.834
01/1969,1.61,1.31
02/1969,1.586,1.048
03/1969,4.585,0.786
04/1969,14.331,1.834
05/1969,7.644,1.834
06/1969,2.589,2.62
07/1969,1.96,3.144
08/1969,2.115,3.668
09/1969,2.864,3.668
10/1969,1.983,2.62
11/1969,1.122,1.834
12/1969,0.918,1.834
01/1970,0.614,1.31
02/1970,1.288,1.048
03/1970,3.468,0.786
04/1970,13.237,1.834
05/1970,10.275,1.834
06/1970,3.961,2.62
07/1970,1.576,3.144
08/1970,4.018,3.668
09/1970,1.34,3.668
10/1970,3.066,2.62
11/1970,7.431,1.834
12/1970,4.699,1.834
01/1971,2.063,1.31
02/1971,2.74,1.048
03/1971,4.368,0.786
04/1971,6.877,1.834
05/1971,3.082,1.834
06/1971,5.093,2.62
07/1971,2.068,3.144
08/1971,1.07,3.668
09/1971,0.876,3.668
10/1971,0.791,2.62
11/1971,0.78,1.834
12/1971,4.653,1.834
01/1972,1.856,1.31
02/1972,1.008,1.048
03/1972,0.928,0.786
04/1972,3.673,1.834
05/1972,2.911,1.834
06/1972,3.953,2.62
07/1972,2.115,3.144
08/1972,2.911,3.668
09/1972,2.035,3.668
10/1972,2.688,2.62
11/1972,2.893,1.834
12/1972,2.47,1.834
01/1973,1.306,1.31
02/1973,1.501,1.048
03/1973,3.484,0.786
04/1973,6.778,1.834
05/1973,5.77,1.834
06/1973,1.788,2.62
07/1973,3.038,3.144
08/1973,1.812,3.668
09/1973,0.853,3.668
10/1973,1.239,2.62
11/1973,1.146,1.834
12/1973,1.13,1.834
01/1974,5.013,1.31
02/1974,2.281,1.048
03/1974,3.398,0.786
04/1974,1.553,1.834
05/1974,1.747,1.834
06/1974,2.418,2.62
07/1974,2.74,3.144
08/1974,1.317,3.668
09/1974,0.894,3.668
10/1974,1.954,2.62
11/1974,8.079,1.834
12/1974,19.03,1.834
01/1975,6.262,1.31
02/1975,3.46,1.048
03/1975,2.063,0.786
04/1975,4.051,1.834
05/1975,1.77,1.834
06/1975,1.534,2.62
07/1975,1.506,3.144
08/1975,1.965,3.668
09/1975,1.519,3.668
10/1975,0.785,2.62
11/1975,0.998,1.834
12/1975,3.593,1.834
01/1976,12.338,1.31
02/1976,2.792,1.048
03/1976,2.138,0.786
04/1976,5.311,1.834
05/1976,1.462,1.834
06/1976,1.661,2.62
07/1976,1.032,3.144
08/1976,1.083,3.668
09/1976,0.866,3.668
10/1976,0.7,2.62
11/1976,0.933,1.834
12/1976,2.315,1.834
01/1977,1.869,1.31
02/1977,5.793,1.048
03/1977,6.257,0.786
04/1977,4.075,1.834
05/1977,2.602,1.834
06/1977,2.517,2.62
07/1977,2.268,3.144
08/1977,4.041,3.668
09/1977,3.284,3.668
10/1977,2.138,2.62
11/1977,4.658,1.834
12/1977,3.616,1.834
01/1978,2.727,1.31
02/1978,1.382,1.048
03/1978,5.845,0.786
04/1978,4.062,1.834
05/1978,5.599,1.834
06/1978,2.499,2.62
07/1978,1.615,3.144
08/1978,2.82,3.668
09/1978,4.298,3.668
10/1978,6.073,2.62
11/1978,2.125,1.834
12/1978,3.437,1.834
01/1979,4.819,1.31
02/1979,1.358,1.048
03/1979,5.884,0.786
04/1979,8.079,1.834
05/1979,2.595,1.834
06/1979,1.249,2.62
07/1979,1.462,3.144
08/1979,1.382,3.668
09/1979,4.132,3.668
10/1979,2.659,2.62
11/1979,1.783,1.834
12/1979,5.049,1.834
01/1980,1.462,1.31
02/1980,5.101,1.048
03/1980,2.556,0.786
04/1980,7.403,1.834
05/1980,6.887,1.834
06/1980,1.013,2.62
07/1980,8.846,3.144
08/1980,1.851,3.668
09/1980,1.651,3.668
10/1980,2.716,2.62
11/1980,2.968,1.834
12/1980,3.525,1.834
01/1981,2.613,1.31
02/1981,1.869,1.048
03/1981,14.951,0.786
04/1981,2.545,1.834
05/1981,3.605,1.834
06/1981,1.41,2.62
07/1981,4.549,3.144
08/1981,4.165,3.668
09/1981,2.219,3.668
10/1981,6.48,2.62
11/1981,6.555,1.834
12/1981,2.716,1.834
01/1982,4.005,1.31
02/1982,2.957,1.048
03/1982,5.215,0.786
04/1982,6.768,1.834
05/1982,3.1,1.834
06/1982,1.34,2.62
07/1982,1.244,3.144
08/1982,2.348,3.668
09/1982,0.734,3.668
10/1982,0.998,2.62
11/1982,0.866,1.834
12/1982,2.017,1.834
01/1983,6.407,1.31
02/1983,3.707,1.048
03/1983,4.642,0.786
04/1983,8.372,1.834
05/1983,2.219,1.834
06/1983,1.41,2.62
07/1983,0.791,3.144
08/1983,5.262,3.668
09/1983,1.239,3.668
10/1983,0.762,2.62
11/1983,1.661,1.834
12/1983,1.26,1.834
01/1984,2.4,1.31
02/1984,2.504,1.048
03/1984,2.986,0.786
04/1984,8.235,1.834
05/1984,3.256,1.834
06/1984,3.346,2.62
07/1984,5.661,3.144
08/1984,2.626,3.668
09/1984,2.665,3.668
10/1984,2.561,2.62
11/1984,1.553,1.834
12/1984,0.889,1.834
01/1985,0.824,1.31
02/1985,1.646,1.048
03/1985,2.182,0.786
04/1985,5.282,1.834
05/1985,2.608,1.834
06/1985,1.827,2.62
07/1985,3.748,3.144
08/1985,0.762,3.668
09/1985,0.505,3.668
10/1985,0.762,2.62
11/1985,0.734,1.834
12/1985,3.002,1.834
01/1986,4.298,1.31
02/1986,1.472,1.048
03/1986,4.847,0.786
04/1986,7.913,1.834
05/1986,2.973,1.834
06/1986,5.575,2.62
07/1986,1.249,3.144
08/1986,2.144,3.668
09/1986,2.939,3.668
10/1986,2.452,2.62
11/1986,3.323,1.834
12/1986,3.805,1.834
01/1987,7.576,1.31
02/1987,2.675,1.048
03/1987,4.984,0.786
04/1987,15.622,1.834
05/1987,3.393,1.834
06/1987,3.707,2.62
07/1987,2.011,3.144
08/1987,2.716,3.668
09/1987,2.659,3.668
10/1987,1.397,2.62
11/1987,2.561,1.834
12/1987,7.672,1.834
01/1988,2.996,1.31
02/1988,2.963,1.048
03/1988,5.249,0.786
04/1988,13.318,1.834
05/1988,2.138,1.834
06/1988,0.933,2.62
07/1988,0.905,3.144
08/1988,0.772,3.668
09/1988,1.008,3.668
10/1988,1.05,2.62
11/1988,2.356,1.834
12/1988,8.694,1.834
01/1989,6.0,1.31
02/1989,1.993,1.048
03/1989,4.751,0.786
04/1989,1.221,1.834
05/1989,1.724,1.834
06/1989,0.715,2.62
07/1989,0.762,3.144
08/1989,0.625,3.668
09/1989,0.505,3.668
10/1989,1.405,2.62
11/1989,2.517,1.834
12/1989,3.72,1.834
01/1990,2.268,1.31
02/1990,3.932,1.048
03/1990,6.045,0.786
04/1990,3.686,1.834
05/1990,2.67,1.834
06/1990,1.965,2.62
07/1990,1.542,3.144
08/1990,0.842,3.668
09/1990,2.408,3.668
10/1990,1.908,2.62
11/1990,3.289,1.834
12/1990,1.965,1.834
01/1991,3.191,1.31
02/1991,1.198,1.048
03/1991,1.457,0.786
04/1991,1.278,1.834
05/1991,2.011,1.834
06/1991,2.735,2.62
07/1991,1.41,3.144
08/1991,1.179,3.668
09/1991,0.505,3.668
10/1991,0.521,2.62
11/1991,1.312,1.834
12/1991,4.339,1.834
01/1992,7.141,1.31
02/1992,6.532,1.048
03/1992,9.886,0.786
04/1992,5.267,1.834
05/1992,3.17,1.834
06/1992,0.809,2.62
07/1992,1.179,3.144
08/1992,0.832,3.668
09/1992,0.772,3.668
10/1992,0.918,2.62
11/1992,3.214,1.834
12/1992,1.703,1.834
01/1993,2.75,1.31
02/1993,2.138,1.048
03/1993,3.616,0.786
04/1993,1.013,1.834
05/1993,1.094,1.834
06/1993,1.553,2.62
07/1993,2.348,3.144
08/1993,1.931,3.668
09/1993,1.472,3.668
10/1993,1.13,2.62
11/1993,1.042,1.834
12/1993,6.034,1.834
01/1994,4.114,1.31
02/1994,2.154,1.048
03/1994,3.048,0.786
04/1994,2.843,1.834
05/1994,2.068,1.834
06/1994,1.755,2.62
07/1994,3.053,3.144
08/1994,3.033,3.668
09/1994,2.195,3.668
10/1994,1.718,2.62
11/1994,2.299,1.834
12/1994,4.762,1.834
01/1995,5.547,1.31
02/1995,5.679,1.048
03/1995,2.626,0.786
04/1995,9.209,1.834
05/1995,2.087,1.834
06/1995,2.247,2.62
07/1995,1.444,3.144
08/1995,0.861,3.668
09/1995,6.55,3.668
10/1995,2.618,2.62
11/1995,5.93,1.834
12/1995,2.716,1.834
01/1996,1.661,1.31
02/1996,0.55,1.048
03/1996,1.037,0.786
04/1996,2.996,1.834
05/1996,2.234,1.834
06/1996,1.794,2.62
07/1996,6.091,3.144
08/1996,1.325,3.668
09/1996,2.693,3.668
10/1996,4.137,2.62
11/1996,3.02,1.834
12/1996,1.851,1.834
01/1997,1.159,1.31
02/1997,4.103,1.048
03/1997,6.172,0.786
04/1997,3.678,1.834
05/1997,1.776,1.834
06/1997,0.772,2.62
07/1997,0.923,3.144
08/1997,1.094,3.668
09/1997,0.767,3.668
10/1997,1.107,2.62
11/1997,0.956,1.834
12/1997,3.771,1.834
01/1998,2.727,1.31
02/1998,2.167,1.048
03/1998,6.858,0.786
04/1998,1.788,1.834
05/1998,0.905,1.834
06/1998,0.962,2.62
07/1998,1.581,3.144
08/1998,1.203,3.668
09/1998,4.619,3.668
10/1998,4.482,2.62
11/1998,6.109,1.834
12/1998,3.777,1.834
01/1999,3.25,1.31
02/1999,3.942,1.048
03/1999,8.401,0.786
04/1999,3.232,1.834
05/1999,1.661,1.834
06/1999,1.169,2.62
07/1999,1.382,3.144
08/1999,0.658,3.668
09/1999,0.417,3.668
10/1999,0.653,2.62
